CustomerID,Name,Email,Phone,Country
1,Allison Hill,jillrhodes@miller.com,890-838-6379,France
2,Abigail Shaffer,joshua35@gmail.com,615-594-0781,Uzbekistan
3,Juan Calderon,janetwilliams@gmail.com,301-413-1647,Irland
4,Nicholas Martin,veronica83@hotmail.com,030-564-1395,Estonia
5,Patrick Ryan,icox@hotmail.com,101-226-9166,Mexico
6,Alexandra Le,daniel62@yahoo.com,482-814-8932,USA
7,Kimberly Osborne,tracy15@allen-allen.org,171-822-7824,Malta
8,Jenny Lewis,raymond57@hayes.com,001-839-301-0310,Tokelau
9,Jose Ramirez,ambercummings@hotmail.com,001-737-1656,Isle of Man
10,Nicholas Nunez,powellmatthew@wright.net,262-473-1781,Italy
11,Sarah Martin,zlewis@gmail.com,606-474-6872,USA
12,Wayne Riley,brian97@calhoun.net,219-136-1939,Spaine
13,Bradley Sandoval,james53@yahoo.com,247-510-7991,Estonia
14,Gregory Jones,justin78@turner.net,841-241-1824,Finland
15,Michelle Harris,dking@gmail.com,640-052-4278,Belarus
